x,mse
0.0,0.039542786591534235
0.02631578947368421,0.03661844029215801
0.05263157894736842,0.03960267613645323
0.07894736842105263,0.03705302398557618
0.10526315789473684,0.03923110567614185
0.13157894736842105,0.03992334485382854
0.15789473684210525,0.03544355820437775
0.18421052631578946,0.03670919916685061
0.21052631578947367,0.04023407233836811
0.23684210526315788,0.04092204459771867
0.2631578947368421,0.042871508800777045
0.2894736842105263,0.04369109477953142
0.3157894736842105,0.04423768283554706
0.3421052631578947,0.038800689035123
0.3684210526315789,0.045406794603362555
0.39473684210526316,0.03770448004613046
0.42105263157894735,0.039319694024744875
0.4473684210526315,0.04591107448399469
0.47368421052631576,0.03922420453125415
0.5,0.04089523872671412
